SITE	LAT	LONG
OGD	48.40821667	-123.3874833
SGI	48.75678333	-123.3799
LAS	49.47478333	-124.1826167
JER	49.75303333	-124.0011
TOF	49.2482	-125.9384
CRA	50.5212	-126.56462
RBY	50.33026667	-125.4665833
SHE	50.65893333	-126.2377
MAL	50.62736667	-127.1282167
QUA	50.49976667	-127.8717333
HOP	50.89923333	-127.85115
TBL	51.27213333	-127.8038333
CAL	51.69	-128.1425
TOL	52.71326667	-128.5782
PRI	54.197	-130.366
LEG	54.682	-130.464
JUA	52.632	-131.396
SEL	52.93881667	-131.9049333
REN	53.399	-132.66
MAZ	54.1	-132.55305
AK1	54.83479167	-133.0185444
AK2	56.36410556	-134.6327528
AK3	57.82796389	-134.7153333
AK4	55.91448611	-132.2171083
